,user,artist_name,play_count,artist_url
25,Dpickleaor,Slowdive,276,https://www.last.fm/music/Slowdive

26,Dpickleaor,4 Позиции Бруно,268,https://www.last.fm/music/4+%D0%9F%D0%BE%D0%B7%D0%B8%D1%86%D0%B8%D0%B8+%D0%91%D1%80%D1%83%D0%BD%D0%BE

27,Dpickleaor,Bon Jovi,261,https://www.last.fm/music/Bon+Jovi

28,Dpickleaor,Ratt,261,https://www.last.fm/music/Ratt

29,Dpickleaor,Loli in early 20s,260,https://www.last.fm/music/Loli+in+early+20s

30,Dpickleaor,Mike Oldfield,257,https://www.last.fm/music/Mike+Oldfield

31,Dpickleaor,Cinderella,245,https://www.last.fm/music/Cinderella

32,Dpickleaor,Grimes,243,https://www.last.fm/music/Grimes

33,Dpickleaor,Faith No More,231,https://www.last.fm/music/Faith+No+More

34,Dpickleaor,Crystal Castles,227,https://www.last.fm/music/Crystal+Castles

35,Dpickleaor,Ramones,222,https://www.last.fm/music/Ramones

36,Dpickleaor,Ozzy Osbourne,221,https://www.last.fm/music/Ozzy+Osbourne

37,Dpickleaor,Swans,220,https://www.last.fm/music/Swans

38,Dpickleaor,Alcest,218,https://www.last.fm/music/Alcest

39,Dpickleaor,Gamma Ray,216,https://www.last.fm/music/Gamma+Ray

40,Dpickleaor,Scott Walker,216,https://www.last.fm/music/Scott+Walker

41,Dpickleaor,Mr.Kitty,215,https://www.last.fm/music/Mr.Kitty

42,Dpickleaor,Tangerine Dream,208,https://www.last.fm/music/Tangerine+Dream

43,Dpickleaor,YABUJIN,207,https://www.last.fm/music/YABUJIN

44,Dpickleaor,Oxxxymiron,206,https://www.last.fm/music/Oxxxymiron

45,Dpickleaor,Skid Row,201,https://www.last.fm/music/Skid+Row

46,Dpickleaor,Aphex Twin,195,https://www.last.fm/music/Aphex+Twin

47,Dpickleaor,Warrant,189,https://www.last.fm/music/Warrant

48,Dpickleaor,Sweet,188,https://www.last.fm/music/Sweet

49,Dpickleaor,Aerosmith,187,https://www.last.fm/music/Aerosmith

50,oxonio,Cocteau Twins,2063,https://www.last.fm/music/Cocteau+Twins

51,oxonio,Cranes,1114,https://www.last.fm/music/Cranes

52,oxonio,Molly Drake,1033,https://www.last.fm/music/Molly+Drake

53,oxonio,Kate Bush,757,https://www.last.fm/music/Kate+Bush

54,oxonio,Maria Szymanowska,678,https://www.last.fm/music/Maria+Szymanowska

55,oxonio,Terror Bird,641,https://www.last.fm/music/Terror+Bird

56,oxonio,Pye Corner Audio,558,https://www.last.fm/music/Pye+Corner+Audio

57,oxonio,Molly Nilsson,556,https://www.last.fm/music/Molly+Nilsson

58,oxonio,Dead Can Dance,540,https://www.last.fm/music/Dead+Can+Dance

59,oxonio,Dolly Mixture,535,https://www.last.fm/music/Dolly+Mixture

60,oxonio,Lush,524,https://www.last.fm/music/Lush

61,oxonio,Baby Dee,518,https://www.last.fm/music/Baby+Dee

62,oxonio,Elizabeth Joy Roe,511,https://www.last.fm/music/Elizabeth+Joy+Roe

63,oxonio,Nino Gvetadze,504,https://www.last.fm/music/Nino+Gvetadze

64,oxonio,John Field,486,https://www.last.fm/music/John+Field

65,oxonio,Martin Zalewski and Michal Gondko,469,https://www.last.fm/music/Martin+Zalewski+and+Michal+Gondko

66,oxonio,Chopin,464,https://www.last.fm/music/+noredirect/Chopin

67,oxonio,La Morra,456,https://www.last.fm/music/La+Morra

68,oxonio,Kania Tieffer,447,https://www.last.fm/music/Kania+Tieffer

69,oxonio,Beach House,444,https://www.last.fm/music/Beach+House

70,oxonio,Friday Bridge,418,https://www.last.fm/music/Friday+Bridge

71,oxonio,Reynaldo Hahn,403,https://www.last.fm/music/Reynaldo+Hahn

72,oxonio,Xosar,381,https://www.last.fm/music/Xosar

73,oxonio,Bestial Mouths,375,https://www.last.fm/music/Bestial+Mouths

74,oxonio,Old Girl,344,https://www.last.fm/music/Old+Girl

75,oxonio,The Cure,341,https://www.last.fm/music/The+Cure

76,oxonio,Frederick Delius,338,https://www.last.fm/music/Frederick+Delius

77,oxonio,Gonzales,336,https://www.last.fm/music/Gonzales

78,oxonio,El Perro del Mar,328,https://www.last.fm/music/El+Perro+del+Mar

79,oxonio,The Breath of Life,308,https://www.last.fm/music/The+Breath+of+Life

80,oxonio,William Alwyn,303,https://www.last.fm/music/William+Alwyn

81,oxonio,Alexander Borodin,302,https://www.last.fm/music/+noredirect/Alexander+Borodin

82,oxonio,Group Rhoda,302,https://www.last.fm/music/Group+Rhoda

83,oxonio,Manuel Blancafort,298,https://www.last.fm/music/Manuel+Blancafort

84,oxonio,Federico Mompou,294,https://www.last.fm/music/Federico+Mompou

85,oxonio,Philip Edward Fisher,293,https://www.last.fm/music/Philip+Edward+Fisher

86,oxonio,ivankovà,288,https://www.last.fm/music/ivankov%C3%A0

87,oxonio,Junior Boys,287,https://www.last.fm/music/Junior+Boys

88,oxonio,Dichroic Mirror,285,https://www.last.fm/music/Dichroic+Mirror

89,oxonio,Geneva Jacuzzi,285,https://www.last.fm/music/Geneva+Jacuzzi

90,oxonio,Siouxsie and the Banshees,281,https://www.last.fm/music/Siouxsie+and+the+Banshees

91,oxonio,Lycia,280,https://www.last.fm/music/Lycia

